"","on_oracle","policy_value","policy_SE","policy_value_last"
"uniform",0.12506,-0.41735414657381,0.00371082515264277,-0.423408192513212
"LinTS",0.12793,-0.414597745994157,0.00407258875991247,-0.418908589021508
"BLTS",0.13055,-0.41156329826256,0.0033040809783873,-0.422753510485053
